,Heading,Authors,Summary,Link
0,Gapless surface Dirac cone in antiferromagnetic topological insulator MnBi$_2$Te$_4$,Yu-Jie Hao; Pengfei Liu; Yue Feng; Xiao-Ming Ma; Eike F. Schwier; Masashi Arita; Shiv Kumar; Chaowei Hu; Rui'e Lu; Meng Zeng; Yuan Wang; Zhanyang Hao; Hongyi Sun; Ke Zhang; Jiawei Mei; Ni Ni; Liusuo Wu; Kenya Shimada; Chaoyu Chen; Qihang Liu; Chang Liu,"The recent discovered antiferromagnetic topological insulators in Mn-Bi-Te family with intrinsic magnetic ordering have rapidly drawn broad interest since its cleaved surface state is believed to be gapped, hosting the unprecedented axion states with half-integer quantum Hall effect. Here, however, we show unambiguously by using high-resolution angle-resolved photoemission spectroscopy that a gapl…
        ▽ More",https://arxiv.org/abs/1907.03722
1,Multiple Generative Models Ensemble for Knowledge-Driven Proactive Human-Computer Dialogue Agent,Zelin Dai; Weitang Liu; Hao Zhang; Minghao Zhu; Long Wang,"Multiple sequence to sequence models were used to establish an end-to-end multi-turns proactive dialogue generation agent, with the aid of data augmentation techniques and variant encoder-decoder structure designs. A rank-based ensemble approach was developed for boosting performance. Results indicate that our single model, in average, makes an obvious improvement in the terms of F1-score and BLEU…
        ▽ More",https://arxiv.org/abs/1907.03590
2,Etalumis: Bringing Probabilistic Programming to Scientific Simulators at Scale,Atılım Güneş Baydin; Lei Shao; Wahid Bhimji; Lukas Heinrich; Lawrence Meadows; Jialin Liu; Andreas Munk; Saeid Naderiparizi; Bradley Gram-Hansen; Gilles Louppe; Mingfei Ma; Xiaohui Zhao; Philip Torr; Victor Lee; Kyle Cranmer;  Prabhat; Frank Wood,"Probabilistic programming languages (PPLs) are receiving widespread attention for performing Bayesian inference in complex generative models. However, applications to science remain limited because of the impracticability of rewriting complex scientific simulators in a PPL, the computational cost of inference, and the lack of scalable implementations. To address these, we present a novel PPL frame…
        ▽ More",https://arxiv.org/abs/1907.03382
3,A coupled-channel lattice study on the resonance-like structure $Z_c(3900)$,Ting Chen; Ying Chen; Ming Gong; Chuan Liu; Liuming Liu; Yu-Bin Liu; Zhaofeng Liu; Jian-Ping Ma; Markus Werner;  Jian-Bo~Zhang,"In this exploratory study, near-threshold scattering of $D$ and $\bar{D}^*$ meson is investigated using lattice QCD with $N_f=2+1+1$ twisted mass fermion configurations. The calculation is performed within the coupled-channel Lüscher's finite-size formalism. The study focuses on the channel with $I^G(J^{PC})=1^+(1^{+-})$ where the resonance-like structure $Z_c(3900)$ was discovered. We first ident…
        ▽ More",https://arxiv.org/abs/1907.03371
4,Deep Saliency Models : The Quest For The Loss Function,Alexandre Bruckert; Hamed R. Tavakoli; Zhi Liu; Marc Christie; Olivier Le Meur,"Recent advances in deep learning have pushed the performances of visual saliency models way further than it has ever been. Numerous models in the literature present new ways to design neural networks, to arrange gaze pattern data, or to extract as much high and low-level image features as possible in order to create the best saliency representation. However, one key part of a typical deep learning…
        ▽ More",https://arxiv.org/abs/1907.02336
5,Implementation and Performance of Barnes-Hut N-body algorithm on Extreme-scale Heterogeneous Many-core Architectures,Masaki Iwasawa; Daisuke Namekata; Ryo Sakamoto; Takashi Nakamura; Yasuyuki Kimura; Keigo Nitadori; Long Wang; Miyuki Tsubouchi; Jun Makino; Zhao Liu; Haohuan Fu; Guangwen Yang,"In this paper, we report the implementation and measured performance of our extreme-scale global simulation code on Sunway TaihuLight and two PEZY-SC2 systems: Shoubu System B and Gyoukou. The numerical algorithm is the parallel Barnes-Hut tree algorithm, which has been used in many large-scale astrophysical particle-based simulations. Our implementation is based on our FDPS framework. However, th…
        ▽ More",https://arxiv.org/abs/1907.02289
6,The on-orbit calibration of DArk Matter Particle Explorer,G. Ambrosi; Q. An; R. Asfandiyarov; P. Azzarello; P. Bernardini; M. S. Cai; M. Caragiulo; J. Chang; D. Y. Chen; H. F. Chen; J. L. Chen; W. Chen; M. Y. Cui; T. S. Cui; H. T. Dai; A. D'Amone; A. De Benedittis; I. De Mitri; M. Ding; M. Di Santo; J. N. Dong; T. K. Dong; Y. F. Dong; Z. X. Dong; D. Droz  ; et al. (133 additional authors not shown),"The DArk Matter Particle Explorer (DAMPE), a satellite-based cosmic ray and gamma-ray detector, was launched on December 17, 2015, and began its on-orbit operation on December 24, 2015. In this work we document the on-orbit calibration procedures used by DAMPE and report the calibration results of the Plastic Scintillator strip Detector (PSD), the Silicon-Tungsten tracKer-converter (STK), the BGO…
        ▽ More",https://arxiv.org/abs/1907.02173
7,A Unified Optimization Approach for CNN Model Inference on Integrated GPUs,Leyuan Wang; Zhi Chen; Yizhi Liu; Yao Wang; Lianmin Zheng; Mu Li; Yida Wang,"Modern deep learning applications urge to push the model inference taking place at the edge devices for multiple reasons such as achieving shorter latency, relieving the burden of the network connecting to the cloud, and protecting user privacy. The Convolutional Neural Network (\emph{CNN}) is one of the most widely used model family in the applications. Given the high computational complexity of…
        ▽ More",https://arxiv.org/abs/1907.02154
8,"The Karl G. Jansky Very Large Array Sky Survey (VLASS). Science case, survey design and initial results",M. Lacy; S. A. Baum; C. J. Chandler; S. Chatterjee; T. E. Clarke; S. Deustua; J. English; J. Farnes; B. M. Gaensler; N. Gugliucci; G. Hallinan; B. R. Kent; A. Kimball; C. J. Law; T. J. W. Lazio; J. Marvil; S. A. Mao; D. Medlin; K. Mooley; E. J. Murphy; S. Myers; R. Osten; G. T. Richards; E. Rosolowsky; L. Rudnick  ; et al. (52 additional authors not shown),"The Very Large Array Sky Survey (VLASS) is a synoptic, all-sky radio sky survey with a unique combination of high angular resolution ($\approx$2.5""), sensitivity (a 1$σ$ goal of 70 $μ$Jy/beam in the coadded data), full linear Stokes polarimetry, time domain coverage, and wide bandwidth (2-4 GHz). The first observations began in September 2017, and observing for the survey will finish in 2024. VLAS…
        ▽ More",https://arxiv.org/abs/1907.01981
9,$Ab$ $Initio$ Exact Diagonalization Simulation of the Nagaoka Transition in Quantum Dots,Yao Wang; Juan Pablo Dehollain; Fang Liu; Uditendu Mukhopadhyay; Mark S. Rudner; Lieven M. K. Vandersypen; Eugene Demler,"Recent progress of quantum simulators provides new insight into the fundamental problems of strongly correlated systems. To adequately assess the accuracy of these simulators, the precise modeling of the many-body physics, with accurate model parameters, is crucially important. In this paper, we introduce an $ab$ $intio$ exact diagonalization framework to compute the correlated physics of a few el…
        ▽ More",https://arxiv.org/abs/1907.01658
10,Observation of magnetic skyrmion crystals in a van der Waals ferromagnet Fe3GeTe2,Tae-Eon Park; Licong Peng; Xichao Zhang; Sung Jong Kim; Kyung Mee Song; Kwangsu Kim; Markus Weigand; Gisela Schütz; Simone Finizio; Jörg Raabe; Jing Xia; Yan Zhou; Motohiko Ezawa; Xiaoxi Liu; Joonyeon Chang; Hyun Cheol Koo; Young Duck Kim; Xiuzhen Yu; Seonghoon Woo,"Since the discovery of long-range magnetic orders in the two-dimensional (2D) van der Waals (vdW) crystals, significant interest on such 2D magnets has emerged, inspired by their appealing physical properties and integration with other 2D family for unique heterostructures. In known 2D magnets such as Cr2Ge2Te6, CrI3 and Fe3GeTe2, spin-orbit coupling (SOC) stabilizes perpendicular magnetic anisotr…
        ▽ More",https://arxiv.org/abs/1907.01425
11,Hadron-Hadron Interactions from $N_f=2+1+1$ Lattice QCD: The $ρ$-resonance,Markus Werner; Martin Ueding; Christopher Helmes; Christian Jost; Bastian Knippschild; Bartosz Kostrzewa; Chuan Liu; Liuming Liu; Bernard Metsch; Marcus Petschlies; Carsten Urbach,"We present an investigation of the Rho-meson from Nf=2+1+1 flavour lattice QCD. The calculation is performed based on gauge configuration ensembles produced by the ETM collaboration with three lattice spacing values and pion masses ranging from 230 MeV to 500 MeV. Applying the Lüscher method phase shift curves are determined for all ensembles separately. Assuming a Breit-Wigner form, the Rho-meson…
        ▽ More",https://arxiv.org/abs/1907.01237
12,High-speed Railway Fastener Detection and Localization System,Qing Song; Yao Guo; Lu Yang; Jianan Jiang; Chun Liu; Mengjie Hu,"Railway transportation is the artery of China's national economy and plays an important role in the development of today's society. Due to the late start of China's railway security inspection technology, the current railway security inspection tasks mainly rely on manual inspection, but the manual inspection efficiency is low, and a lot of manpower and material resources are needed. In this paper…
        ▽ More",https://arxiv.org/abs/1907.01141
13,Development and high-power testing of an X-band dielectric-loaded power extractor,Jiahang Shao; Chunguang Jing; Eric Wisniewski; Gwanghui Ha; Manoel Conde; Wanming Liu; John Power; Lianmin Zheng,"Dielectric loaded structures are promising candidates for use in the structure wakefield acceleration (SWFA) technique, for both the collinear wakefield and the two-beam acceleration (CWA and TBA respectively) approaches, due to their low fabrication cost, low rf losses, and the potential to withstand high gradient. A short pulse (<=20 ns) TBA program is under development at the Argonne Wakefield…
        ▽ More",https://arxiv.org/abs/1907.01069
14,Observation of the $Λ_b^0\rightarrow χ_{c1}(3872)pK^-$ decay, LHCb collaboration; R. Aaij; C. Abellán Beteta; T. Ackernley; B. Adeva; M. Adinolfi; C. A. Aidala; S. Aiola; Z. Ajaltouni; S. Akar; P. Albicocco; J. Albrecht; F. Alessio; M. Alexander; A. Alfonso Albero; G. Alkhazov; P. Alvarez Cartelle; A. A. Alves Jr; S. Amato; Y. Amhis; L. An; L. Anderlini; G. Andreassi; M. Andreotti; J. E. Andrews  ; et al. (884 additional authors not shown),"Using proton-proton collision data, collected with the LHCb detector and corresponding to 1.0, 2.0 and 1.9fb$^{-1}$ of integrated luminosity at the centre-of-mass energies of 7, 8, and 13 TeV, respectively, the decay $Λ_b^0\to χ_{c1}(3872)pK^-$ with $χ_{c1}\to J/ψπ^+π^-$ is observed for the first time. The significance of the observed signal is in excess of seven standard deviations. It is found t…
        ▽ More",https://arxiv.org/abs/1907.00954
